shard_number,txn_hash,from_address,to_address,age,txn_value,txn_fee
0,0x861...4d402,one1e...hs206,one1w...2xt26,08/18/2020 19:34:41 MDT,1228590,0.000021
0,0x9ce...87fd5,one18...zp09d,one1w...2xt26,08/18/2020 19:30:21 MDT,3071995,0.000021
0,0x2bd...4dea5,one1t...2r54m,one10...p6gwz,08/18/2020 19:30:16 MDT,12,0.000021
0,0x814...29af5,one1w...2xt26,one10...qewsp,08/18/2020 19:29:46 MDT,262458.359,0.000021
0,0x86b...d89ca,one1w...2xt26,one1u...ndaw4,08/18/2020 19:25:36 MDT,72230.8386,0.000021
0,0xb26...c93fd,one1s...a6x7q,one1j...aj4pr,08/18/2020 19:23:31 MDT,0,0.0067219
0,0xefd...39d91,one1s...a6x7q,one1m...yacqs,08/18/2020 19:22:56 MDT,0,0.0067219
0,0xb8b...61177,one1w...2xt26,one1p...nh5gq,08/18/2020 19:19:30 MDT,3660.599,0.000021
0,0x182...e783e,one1l...935n9,one1q...8wd2t,08/18/2020 19:10:23 MDT,220791,0.00021
0,0x08f...53247,one1y...aqu2c,one1q...nsscd,08/18/2020 19:09:58 MDT,0.001,0.000021
0,0x444...75d90,one1w...2xt26,one1l...935n9,08/18/2020 19:09:23 MDT,220791,0.000021
0,0x015...6d526,one1n...sj8fy,one1f...958wr,08/18/2020 19:07:13 MDT,4849.264,0.000021
0,0x2c9...fc7cc,one18...wqfss,one17...u48ry,08/18/2020 19:06:23 MDT,0,0.00025
0,0x95e...466a6,one1w...2xt26,one1n...m8y26,08/18/2020 19:01:16 MDT,10394.5195,0.000021
0,0x926...5417c,one18...wqfss,one17...u48ry,08/18/2020 19:00:36 MDT,0,0.000025
0,0x9f3...4e0b7,one1t...2r54m,one10...p6gwz,08/18/2020 19:00:15 MDT,11,0.000021
0,0x2be...b521f,one1j...u04u8,one1x...n5949,08/18/2020 18:58:05 MDT,0,0.01000001
0,0x0b0...a8914,one18...wqfss,one17...u48ry,08/18/2020 18:54:35 MDT,0,0.000025
0,0xec9...064b3,one1j...u04u8,one1x...n5949,08/18/2020 18:53:05 MDT,0,0.01000001
0,0x85c...17b5a,one18...wqfss,one17...u48ry,08/18/2020 18:52:15 MDT,0,0.000025
0,0x777...ab59a,one1j...u04u8,one1x...n5949,08/18/2020 18:48:05 MDT,0,0.01000001
0,0x8da...855de,one18...wqfss,one17...u48ry,08/18/2020 18:45:35 MDT,0,0.000025
0,0x18d...ab34c,one18...wqfss,one17...u48ry,08/18/2020 18:43:35 MDT,0,0.000025
0,0x4dc...06374,one1j...u04u8,one1x...n5949,08/18/2020 18:43:05 MDT,0,0.01000001
0,0xeca...7dc9f,one1j...u04u8,one1x...n5949,08/18/2020 18:38:04 MDT,0,0.01000001
0,0x5c5...fc9d1,one18...wqfss,one17...u48ry,08/18/2020 18:37:29 MDT,0,0.000025
0,0xe3c...5109c,one1w...2xt26,one10...qewsp,08/18/2020 18:37:04 MDT,253539.939,0.000021
0,0x058...8ff00,one1q...8wd2t,one1g...e0c5h,08/18/2020 18:35:49 MDT,166665.999,0.00021
0,0x31a...60553,one18...wqfss,one17...u48ry,08/18/2020 18:34:19 MDT,0,0.000025
0,0xd40...caa67,one1j...u04u8,one1x...n5949,08/18/2020 18:33:04 MDT,0,0.01000001
0,0xba4...70b95,one18...wqfss,one17...u48ry,08/18/2020 18:32:14 MDT,0,0.000025
0,0xa51...96385,one1t...2r54m,one10...p6gwz,08/18/2020 18:30:22 MDT,12,0.000021
0,0x5a6...fc57a,one18...wqfss,one17...u48ry,08/18/2020 18:29:11 MDT,0,0.000025
0,0xf13...8ab10,one1j...u04u8,one1x...n5949,08/18/2020 18:28:06 MDT,0,0.01000001
0,0x9f2...470cd,one1q...8wd2t,one1g...e0c5h,08/18/2020 18:26:46 MDT,0.999,0.00021
0,0xa3e...71162,one18...wqfss,one17...u48ry,08/18/2020 18:24:43 MDT,0,0.00025
0,0xd9a...0b37c,one18...wqfss,one17...u48ry,08/18/2020 18:24:03 MDT,0,0.000025
0,0xdd3...c9a33,one1j...u04u8,one1x...n5949,08/18/2020 18:23:03 MDT,0,0.01000001
0,0xe37...a1d6c,one1w...2xt26,one19...29aej,08/18/2020 18:19:00 MDT,2460.099,0.000021
0,0xa49...2c754,one1m...kvnag,one1q...mlvc9,08/18/2020 18:18:15 MDT,13151.7653,0
0,0xcff...61e0e,one1j...u04u8,one1x...n5949,08/18/2020 18:18:05 MDT,0,0.01000001
0,0x6fe...fcf6a,one1m...kvnag,one1x...jrh7n,08/18/2020 18:16:04 MDT,28051.2245,0
0,0xe2c...31ab2,one1q...8wd2t,one18...muqzy,08/18/2020 18:15:17 MDT,341201,0.00021
0,0x163...e03fe,one18...wqfss,one17...u48ry,08/18/2020 18:14:56 MDT,0,0.000025
0,0x8d7...edb56,one18...wqfss,one17...u48ry,08/18/2020 18:13:46 MDT,0,0.000025
0,0x5c8...9bf37,one1q...8wd2t,one1c...xfw2j,08/18/2020 18:12:56 MDT,207944,0.00021
0,0xeb4...213f0,one18...wqfss,one17...u48ry,08/18/2020 18:12:36 MDT,0,0.000025
0,0x214...b0d65,one18...wqfss,one17...u48ry,08/18/2020 18:12:06 MDT,0,0.00025
0,0xa49...dc441,one1n...nvajj,one1p...qkn77,08/18/2020 18:11:11 MDT,197456,0.000021
0,0x834...a0a09,one1r...57uxv,one1p...ashr4,08/18/2020 18:09:44 MDT,242363,0.000021
0,0x49b...a612c,one1l...ln4wd,one1p...ashr4,08/18/2020 18:09:39 MDT,419.9998,0.000021
0,0x244...d1ef2,one1k...5n8gt,one1n...657va,08/18/2020 18:09:29 MDT,35740.1378,0.000021
0,0xcf7...3677e,one1j...u04u8,one1x...n5949,08/18/2020 18:08:04 MDT,0,0.01000001
0,0xf2f...0cb9b,one1l...5a73c,one1w...2xt26,08/18/2020 18:06:49 MDT,1557.799,0.000021
0,0x15e...ea46f,one1w...2xt26,one13...al4kk,08/18/2020 18:06:49 MDT,40499.999,0.000021
0,0x33a...43f90,one1j...u04u8,one1x...n5949,08/18/2020 18:03:07 MDT,0,0.01000001
0,0xcf4...66316,one1q...8wd2t,one18...zp09d,08/18/2020 18:02:07 MDT,449042,0.00021
0,0x207...018ae,one18...wqfss,one18...8ggj7,08/18/2020 18:00:31 MDT,11,0.000025
